423
time,lat,lon,elevation
2019-08-10T17:00:00.000Z,60.377625,5.328243,56.2
2019-08-10T17:00:02.750Z,60.377940,5.327957,18.2
2019-08-10T17:00:16.000Z,60.377845,5.328030,6.6
2019-08-10T17:00:18.750Z,60.377522,5.329218,9.2
2019-08-10T17:00:21.500Z,60.377170,5.330782,10.1
2019-08-10T17:00:24.250Z,60.376908,5.332230,9.5
2019-08-10T17:00:27.000Z,60.376713,5.333428,10.6
2019-08-10T17:00:29.750Z,60.376448,5.334072,11.4
2019-08-10T17:00:32.500Z,60.376063,5.334023,17.3
2019-08-10T17:00:35.250Z,60.375777,5.334868,24.0
2019-08-10T17:00:38.000Z,60.375480,5.335830,31.2
2019-08-10T17:00:40.750Z,60.375017,5.336097,38.3
2019-08-10T17:00:43.500Z,60.374648,5.336258,47.7
2019-08-10T17:00:46.250Z,60.374255,5.336447,53.8
2019-08-10T17:00:49.000Z,60.373877,5.336645,61.2
2019-08-10T17:00:51.750Z,60.373507,5.336798,68.5
2019-08-10T17:00:54.500Z,60.373100,5.336995,72.7
2019-08-10T17:00:57.250Z,60.372702,5.337145,78.1
2019-08-10T17:01:00.000Z,60.372253,5.337318,81.1
2019-08-10T17:01:02.750Z,60.371575,5.337375,59.8
2019-08-10T17:01:05.500Z,60.371140,5.337445,56.1
2019-08-10T17:01:22.250Z,60.371025,5.337478,54.4
2019-08-10T17:01:25.000Z,60.370467,5.337705,55.1
2019-08-10T17:01:27.500Z,60.369763,5.338027,55.9
2019-08-10T17:01:30.250Z,60.369077,5.338388,56.8
2019-08-10T17:01:33.000Z,60.368430,5.338723,57.5
2019-08-10T17:01:35.750Z,60.367703,5.339110,57.8
2019-08-10T17:01:38.500Z,60.366938,5.339562,58.4
2019-08-10T17:01:41.250Z,60.366107,5.340127,58.7
2019-08-10T17:01:43.750Z,60.365390,5.340515,58.5
2019-08-10T17:01:46.500Z,60.364688,5.340875,58.7
2019-08-10T17:01:49.250Z,60.363990,5.340977,59.4
2019-08-10T17:01:52.000Z,60.363260,5.341330,60.6
2019-08-10T17:01:54.500Z,60.362550,5.341595,60.9
2019-08-10T17:01:57.250Z,60.361692,5.341532,61.9
2019-08-10T17:01:59.750Z,60.360882,5.341135,62.4
2019-08-10T17:02:02.500Z,60.360037,5.340692,62.0
2019-08-10T17:02:05.250Z,60.359207,5.340363,61.7
2019-08-10T17:02:08.000Z,60.358255,5.340185,60.5
2019-08-10T17:02:10.750Z,60.357198,5.340023,58.6
2019-08-10T17:02:13.250Z,60.356998,5.340293,57.2
2019-08-10T17:02:15.750Z,60.356815,5.340333,55.0
2019-08-10T17:02:18.500Z,60.356055,5.339990,54.2
2019-08-10T17:02:21.250Z,60.355182,5.339260,52.4
2019-08-10T17:02:24.000Z,60.354265,5.338577,50.1
2019-08-10T17:02:26.750Z,60.353398,5.338055,47.6
2019-08-10T17:02:29.500Z,60.352497,5.337868,45.4
2019-08-10T17:02:32.250Z,60.351547,5.337697,42.7
2019-08-10T17:02:34.750Z,60.350737,5.337488,40.3
2019-08-10T17:02:37.500Z,60.350202,5.337120,36.4
2019-08-10T17:02:40.250Z,60.349968,5.337383,33.6
2019-08-10T17:02:43.000Z,60.349815,5.337922,32.4
2019-08-10T17:02:45.750Z,60.349318,5.337827,33.9
2019-08-10T17:02:48.500Z,60.348480,5.337748,36.1
2019-08-10T17:02:51.250Z,60.347520,5.338020,36.3
2019-08-10T17:02:54.000Z,60.346618,5.338933,36.0
2019-08-10T17:02:56.500Z,60.345932,5.339545,35.2
2019-08-10T17:02:59.000Z,60.345425,5.339468,33.2
2019-08-10T17:03:01.750Z,60.345000,5.339262,33.0
2019-08-10T17:03:04.500Z,60.344408,5.339427,33.6
2019-08-10T17:03:07.000Z,60.344050,5.340272,34.8
2019-08-10T17:03:09.750Z,60.343590,5.341172,32.9
2019-08-10T17:03:12.500Z,60.342988,5.341558,31.5
2019-08-10T17:03:15.000Z,60.342442,5.342027,30.2
2019-08-10T17:03:17.750Z,60.341830,5.342262,27.2
2019-08-10T17:03:20.500Z,60.341205,5.342478,24.4
2019-08-10T17:03:23.250Z,60.340733,5.342582,22.4
2019-08-10T17:03:25.750Z,60.340347,5.342985,20.4
2019-08-10T17:03:28.500Z,60.340028,5.343723,18.9
2019-08-10T17:03:31.250Z,60.339652,5.344243,19.0
2019-08-10T17:03:33.750Z,60.339235,5.343943,22.3
2019-08-10T17:03:36.500Z,60.338760,5.343535,26.6
2019-08-10T17:03:39.250Z,60.338163,5.343105,30.5
2019-08-10T17:03:42.000Z,60.337562,5.342977,31.6
2019-08-10T17:03:44.750Z,60.337005,5.343482,32.0
2019-08-10T17:03:47.500Z,60.336555,5.344123,34.1
2019-08-10T17:03:50.000Z,60.336742,5.345305,36.9
2019-08-10T17:03:52.750Z,60.336622,5.346657,37.8
2019-08-10T17:03:55.500Z,60.336507,5.347742,38.7
2019-08-10T17:03:58.250Z,60.336358,5.348928,38.8
2019-08-10T17:04:01.000Z,60.336318,5.350155,40.2
2019-08-10T17:04:03.750Z,60.336668,5.350530,43.5
2019-08-10T17:04:06.250Z,60.336960,5.350800,46.6
2019-08-10T17:04:09.000Z,60.337133,5.351378,49.0
2019-08-10T17:04:11.750Z,60.337373,5.351832,50.7
2019-08-10T17:04:14.250Z,60.337660,5.351983,53.1
2019-08-10T17:04:17.000Z,60.337947,5.352352,55.2
2019-08-10T17:04:19.500Z,60.338118,5.352972,57.4
2019-08-10T17:04:22.250Z,60.338347,5.353935,59.6
2019-08-10T17:04:25.000Z,60.338945,5.354848,61.2
2019-08-10T17:04:27.750Z,60.339457,5.355640,63.9
2019-08-10T17:04:30.250Z,60.339645,5.356062,66.3
2019-08-10T17:04:33.000Z,60.339798,5.356535,68.8
2019-08-10T17:04:35.500Z,60.339982,5.356953,72.0
2019-08-10T17:04:38.250Z,60.340240,5.357413,74.2
2019-08-10T17:04:40.750Z,60.340475,5.357803,76.3
2019-08-10T17:04:43.500Z,60.340693,5.358133,79.1
2019-08-10T17:04:46.000Z,60.340902,5.358312,80.8
2019-08-10T17:04:48.750Z,60.341088,5.358520,82.7
2019-08-10T17:04:51.500Z,60.341225,5.358615,89.2
2019-08-10T17:04:54.250Z,60.341395,5.358910,91.5
2019-08-10T17:04:57.000Z,60.341557,5.359212,94.1
2019-08-10T17:04:59.750Z,60.341758,5.359527,97.0
2019-08-10T17:05:02.500Z,60.341982,5.359855,100.6
2019-08-10T17:05:05.250Z,60.342223,5.360202,103.5
2019-08-10T17:05:08.000Z,60.342447,5.360535,106.9
2019-08-10T17:05:10.500Z,60.342647,5.360875,109.6
2019-08-10T17:05:13.250Z,60.342803,5.361177,114.3
2019-08-10T17:05:16.000Z,60.342980,5.361450,118.4
2019-08-10T17:05:18.750Z,60.343177,5.361800,122.1
2019-08-10T17:05:21.250Z,60.343427,5.362125,124.8
2019-08-10T17:05:24.000Z,60.343688,5.362462,128.9
2019-08-10T17:05:26.750Z,60.343902,5.362678,131.8
2019-08-10T17:05:29.500Z,60.344130,5.362875,134.6
2019-08-10T17:05:32.250Z,60.344350,5.363115,137.5
2019-08-10T17:05:35.000Z,60.344597,5.363268,140.3
2019-08-10T17:05:37.750Z,60.344858,5.363398,142.8
2019-08-10T17:05:50.500Z,60.344955,5.363462,143.0
2019-08-10T17:05:53.000Z,60.345450,5.363755,143.7
2019-08-10T17:05:55.750Z,60.346348,5.364123,144.8
2019-08-10T17:05:58.500Z,60.347532,5.364940,142.6
2019-08-10T17:06:01.000Z,60.348202,5.365662,140.3
2019-08-10T17:06:03.750Z,60.348658,5.366153,138.2
2019-08-10T17:06:06.500Z,60.349550,5.367060,136.2
2019-08-10T17:06:09.000Z,60.350507,5.367833,134.3
2019-08-10T17:06:11.750Z,60.351493,5.368828,131.6
2019-08-10T17:06:14.250Z,60.352515,5.368988,129.2
2019-08-10T17:06:17.000Z,60.353713,5.368763,125.1
2019-08-10T17:06:19.750Z,60.354777,5.368603,120.1
2019-08-10T17:06:22.500Z,60.355828,5.368533,115.4
2019-08-10T17:06:25.250Z,60.356792,5.368473,113.3
2019-08-10T17:06:28.000Z,60.357623,5.368620,110.3
